,Planet$_b$,Period$_b$,"T$_0,$$_b$",$\sqrt{e}\cos \omega$$_b$,$\sqrt{e}\sin \omega$$_b$,i$_b$,$\Omega$$_b$,"M$_{jup,}$$_b$",R$_p$/R$_s$$_b$,Planet$_c$,Period$_c$,"T$_0,$$_c$",$\sqrt{e}\cos \omega$$_c$,$\sqrt{e}\sin \omega$$_c$,i$_c$,$\Omega$$_c$,"M$_{jup,}$$_c$",R$_p$/R$_s$$_c$,Planet$_d$,Period$_d$,"T$_0,$$_d$",$\sqrt{e}\cos \omega$$_d$,$\sqrt{e}\sin \omega$$_d$,i$_d$,$\Omega$$_d$,"M$_{jup,}$$_d$",R$_p$/R$_s$$_d$,M$_s$,R$_s$,c$_1$,c$_2$,dilute,chisq,Chain#
1,0.1,2.507920851923896,2021.0706783178,0.0,0.0,89.91986673939763,0.0,1.1756152869e-05,0.012120829878908,0.2,7.922373721566933,2027.9027889125707,-0.115300048705983,-0.355693183649284,88.40847907779155,0.0,0.100261818544485,0.077417989084064,0.3,11.897966903450513,2020.0010129452248,-0.060093218017685,-0.394794762456922,88.82269818955363,0.0,0.035263605845693,0.045870784093341,0.898958066940344,0.883069397815932,0.30226825819411,0.36304234892643,0.0,6538.45555789385,3
2,0.1,2.507920851923896,2021.0706783178,0.0,0.0,89.91986673939763,0.0,1.1756152869e-05,0.012120829878908,0.2,7.922373721566933,2027.9027889125707,-0.115300048705983,-0.355693183649284,88.40847907779155,0.0,0.100261818544485,0.077417989084064,0.3,11.897966903450513,2020.0010129452248,-0.060093218017685,-0.394794762456922,88.82269818955363,0.0,0.035263605845693,0.045870784093341,0.898958066940344,0.883069397815932,0.30226825819411,0.36304234892643,0.0,6538.45555789385,3
3,0.1,2.508312889348899,2021.0703465777908,0.0,0.0,89.83031102143086,0.0,0.025257016666543,0.012182590160607,0.2,7.92245986477117,2027.9033096902087,-0.111155641942847,-0.344695854180378,88.39705803280462,0.0,0.103752611846669,0.076813712905562,0.3,11.897418321528342,2020.000740143384,-0.060186393196097,-0.394094523361246,88.83767994567813,0.0,0.035396563779502,0.045013612527836,0.900022957283483,0.873053701204852,0.327759882001101,0.356116701419799,0.0,3509.40374594889,3
4,0.1,2.508431089106487,2021.0711875154464,0.0,0.0,89.845652309403,0.0,0.004242725103098,0.012146148078834,0.2,7.922307796785583,2027.9028546352731,-0.115697217039224,-0.340984807898602,88.41903615428366,0.0,0.103483597750729,0.076907637826208,0.3,11.897861552132916,2020.0021974833423,-0.062343478791339,-0.391330503584709,88.82746271602002,0.0,0.036417355304524,0.045878457531356,0.902959317119534,0.868986279391998,0.333646889697411,0.341543591264609,0.0,3485.19811601986,3
5,0.1,2.508652287491375,2021.0697060024804,0.0,0.0,89.67416737196643,0.0,0.010206180658448,0.012347249071595,0.2,7.922322264970457,2027.9029897470257,-0.114424163243059,-0.331721513953196,88.45948148215133,0.0,0.103426627396476,0.076829986993572,0.3,11.897784776449337,2020.0010149444568,-0.060372951155516,-0.384423240040718,88.85434657111237,0.0,0.035762618550212,0.045521300687137,0.903860561028635,0.86203572149972,0.366841196396738,0.290529028419484,0.0,3487.57543078733,3
6,0.1,2.5083588980272,2021.0715794950736,0.0,0.0,89.62803707849177,0.0,0.011997384058803,0.012183646994149,0.2,7.92232372921085,2027.9030548582373,-0.089247433905965,-0.325157917564497,88.53730222293558,0.0,0.102886488847971,0.076590195048427,0.3,11.897599723271645,2020.0014115921256,-0.041095130009402,-0.377764790811503,88.91524506817939,0.0,0.034844090479616,0.04570434848237,0.907243213594671,0.851244332318291,0.403391539761216,0.236688350701722,0.0,3481.72362190355,3
0,0.1,2.507920883387547,2021.0706782103284,0.0,0.0,89.91987607384915,0.0,1.7933402349e-05,0.012125628350521,0.2,7.922373826080706,2027.9027889753472,-0.115297737749859,-0.355688971093087,88.40848049761561,0.0,0.100272677658638,0.077394867649855,0.3,11.897967008043096,2020.001012720028,-0.060096065412213,-0.394791969126763,88.82271746688278,0.0,0.035244627389708,0.045860184992065,0.898957646780827,0.883072596445923,0.302265590765784,0.363043708516711,0.0,6533.76676796209,4
1,0.1,2.507920883387547,2021.0706782103284,0.0,0.0,89.91987607384915,0.0,1.7933402349e-05,0.012125628350521,0.2,7.922373826080706,2027.9027889753472,-0.115297737749859,-0.355688971093087,88.40848049761561,0.0,0.100272677658638,0.077394867649855,0.3,11.897967008043096,2020.001012720028,-0.060096065412213,-0.394791969126763,88.82271746688278,0.0,0.035244627389708,0.045860184992065,0.898957646780827,0.883072596445923,0.302265590765784,0.363043708516711,0.0,6533.76676796209,4
2,0.1,2.507920883387547,2021.0706782103284,0.0,0.0,89.91987607384915,0.0,1.7933402349e-05,0.012125628350521,0.2,7.922373826080706,2027.9027889753472,-0.115297737749859,-0.355688971093087,88.40848049761561,0.0,0.100272677658638,0.077394867649855,0.3,11.897967008043096,2020.001012720028,-0.060096065412213,-0.394791969126763,88.82271746688278,0.0,0.035244627389708,0.045860184992065,0.898957646780827,0.883072596445923,0.302265590765784,0.363043708516711,0.0,6533.76676796209,4
3,0.1,2.507995500796561,2021.072000087608,0.0,0.0,89.88496861218216,0.0,0.03102474736567,0.012227186531312,0.2,7.922571610108626,2027.9030734039377,-0.113004124052353,-0.348945653732033,88.41573794263398,0.0,0.102150144502921,0.076913662337808,0.3,11.897467276326028,2020.000646273944,-0.061346849659377,-0.396969184124242,88.83221542385702,0.0,0.037559099413765,0.045548851820207,0.901123580688702,0.86681127478663,0.33574363485966,0.341794170018112,0.0,3504.02812618147,4
